feature,auc,auc_strength,auc_bull,auc_bear,spear_abs,spear_signed
p11_leg_duration,0.5099810505533164,0.00998105055331644,0.5084685563563983,0.5118945961939166,-0.002762098672423452,0.002523559249168419
p8_macd_signal,0.5098139796542637,0.009813979654263671,0.515053397445659,0.5031852830983122,-0.028042529253419414,0.00023921647249011945
trend1_bars,0.4902960579610084,0.009703942038991609,0.49349748170447505,0.4862457479098972,-0.009480896957447901,0.003805266589414716
leg_size_vs_avg,0.5096609563831033,0.00966095638310327,0.5066298827431872,0.5134957464681282,0.037548096643334805,-0.005035362175186184
p10_leg_duration,0.5094772541834324,0.009477254183432371,0.5080492966329527,0.5112838475252449,-0.010080354743557866,0.001534576435795654
p2_minus_di,0.49058586263766946,0.009414137362330544,0.47522463796782594,0.5100202542281655,0.05237747069682589,-0.0018441659858350527
p8_bb_position,0.5093093999471293,0.009309399947129315,0.5117081950766874,0.5062745427078673,-0.01181189023463573,0.001280881640321043
p8_plus_di,0.509278075974481,0.009278075974481048,0.5185005704523853,0.4976101541142765,0.00900599204070701,0.00579786675209021
p8_ema20_dist,0.5092314836264527,0.009231483626452652,0.5142438582122467,0.5028900328246941,-0.013687661834002291,-7.58744379192465e-05
leg_duration_vs_avg,0.49079588073469443,0.009204119265305566,0.49415561579738293,0.4865452816937995,-0.012934108461038506,-0.0001512657541858109
p7_macd_signal,0.5091041512143941,0.009104151214394118,0.5122810674932281,0.5050848470026479,-0.02889595611955841,-0.00010581442925688695
p7_ema50_dist,0.5090285235281882,0.00902852352818817,0.5111617263523358,0.5063296827835547,-0.025567745324773263,0.0014836823837431781
p8_rsi,0.5090066788491581,0.009006678849158067,0.5133323827688847,0.5035339756183053,-0.02075307506351321,0.002124194209673912
p7_macd_line,0.5089467614159032,0.008946761415903226,0.5113786107437686,0.505870085360276,-0.02687160111158253,0.0005719508871155671
p14_leg_duration,0.5088183098396404,0.008818309839640381,0.5067807697278377,0.511396122043107,-0.004858423523887416,0.001901623884739353
p9_leg_speed,0.4912716070989408,0.008728392901059201,0.49747958455676916,0.48341752856721665,0.16742356358499044,0.019872546211660683
p1_leg_duration,0.49132484606256666,0.008675153937433344,0.49108804168267695,0.49162444125422855,-0.01940155555407256,-0.0022922924770324943
curr_leg_size_pct,0.4913340272102195,0.008665972789780485,0.4915271033058753,0.4910897552507639,0.30218346365605003,0.010155461280865878
p4_macd_signal,0.5086121783229223,0.00861217832292227,0.5170286246006819,0.4979640355948582,-0.04198580092547677,0.002637724633147668
p6_ema50_dist,0.5084507450047497,0.008450745004749738,0.5131755519454057,0.5024731129963809,-0.032185852929223026,0.0016266595693256183
p8_leg_size_pct,0.4915874720637764,0.008412527936223602,0.4993425680256618,0.48177604263777274,0.20171047513738058,0.015974365112336665
p4_ema50_dist,0.5082259258542946,0.008225925854294602,0.5157014890521587,0.49876814981954887,-0.034740766606974574,0.0007325288984984563
mkt_trend_streak,0.5082100264194734,0.008210026419473437,0.5008376709232107,0.5175372283020154,0.028621906246355428,-0.005553461040982071
p15_trend_state,0.49184238569895666,0.008157614301043337,0.4915478121522502,0.49221506807174503,-0.006424507935243109,0.0035977546702268943
p1_minus_di,0.4919796913363537,0.00802030866364628,0.47683039148307127,0.5111459643385661,0.04940084782928577,-0.003643390872967935
p1_cp_body_pct,0.4920440125894638,0.007955987410536214,0.4911977780508834,0.49311463382921816,-0.01387487551359818,0.000797117506040955
p6_trend_state,0.4921851036123483,0.007814896387651704,0.4899404986053536,0.49502488583085597,0.01099983777242136,0.0024576212782935793
p4_rsi,0.50775089503448,0.00775089503448001,0.5121106742010905,0.502235081198469,-0.025947071813376403,-0.0009384168790395099
p4_macd_line,0.507712351267899,0.0077123512678990425,0.5156743202976349,0.49763919451894134,-0.03884036655471323,0.001475320386184526
p6_macd_signal,0.5076907905559062,0.007690790555906157,0.5123153972312037,0.5018399278147211,-0.039578926945777415,0.0011077179312747253
p7_bb_position,0.507220828994434,0.007220828994433992,0.5094099460847984,0.5044512478128558,-0.0140267690795603,0.00767810208114301
p15_leg_duration,0.5070440109559735,0.007044010955973512,0.5036507195796222,0.511337064068993,-0.003654727961838065,0.0018320811487052416
curr_adx,0.507003315488411,0.007003315488411044,0.5005351169380843,0.5151866150764255,0.04274217590905831,-0.008912224670264063
p6_macd_line,0.5069497488555708,0.006949748855570759,0.512807343440525,0.4995389603677327,-0.03750735141182659,0.0030360239606794116
p4_plus_di,0.5068932811750811,0.006893281175081145,0.5147955265784285,0.49689568430936093,0.009025512948831301,0.006020026288708194
curr_leg_duration,0.49313169083176106,0.00686830916823894,0.49608856108697347,0.48939077982647494,-0.02263509790771868,-0.0009089089745772978
p13_leg_duration,0.506861980121797,0.006861980121796951,0.506496691650336,0.5073241281178357,-0.008970255945369017,0.0010278827764265172
